Endothelial	InnateLymphoid	Leydig	Macrophage	Myoid	Sertoli	Unknown
0610005C13Rik	0	0	0.00574084842909014	0	0	0.0333747230358991	0.00184812404906772
0610007P14Rik	0.217929274139718	0.409275859842183	0.835674737135844	0.211556587632225	0.144679115667451	0.365451133227916	0.439577124108949
0610009B22Rik	0.233569371756934	0.0276952366691241	0.474376467726817	0.262781725413051	0.0783209619818303	0.265947968422635	0.355764884733062
0610009E02Rik	0.19025428874903	0.0445976947126471	0.0153414889138936	0.0899865824410272	0.333458633107339	0.0305516799708395	0.0290547118020053
0610009L18Rik	0.188444701725733	0	0.227809543430888	0.520723125544214	0.0684406620565912	0.515453706123308	0.301885032491148
0610009O20Rik	0.33806835364599	0.0616292383527181	0.138300943883793	0.182033933159009	0	0.195899180656091	0.145666457157944
0610010F05Rik	0.36302631678198	0.143623011321412	0.232578797481261	0.252192431842447	0.677396215127031	0.60279543861662	0.242201464779371
0610010K14Rik	0	0.126243930583208	0.00903991334423276	0	0	0.0136035725263197	0.0239894686391041
0610011F06Rik	0.150522669922274	0.402263593598802	1.55897284202524	0.30392917644015	0.166025506789762	0.317380178087372	0.311541966560492
0610025J13Rik	0.0477361474442066	0	0.0391404647542419	0	0	0.00585804314561394	0.00604465091453382
0610030E20Rik	0.305310703509594	0.603990687081023	0.274021665207348	0.464229726806458	0.39877069385768	0.232872802016434	0.441176614676374
0610037L13Rik	0.456777303299328	0.331796057947462	0.390174110568941	0.295373266729479	0.521633091132304	0.360224280113627	0.543835751770084
0610038B21Rik	0	0	0.0413196976512703	0.00562976743598388	0	0.00231762392421078	0.0457200224345393
0610039K10Rik	0	0	0.00801420233078217	0.0579625769882844	0	0.00896488918095503	0.0169861983636364
0610040B10Rik	0.109332978195623	0.0514072311780744	0.0818364980382565	0.0462332599445103	0	0.117838447960412	0.0786528284623082
0610040J01Rik	0	0	0.00173943277830758	0.0666675092400685	0	0	0.000791437323072441
0610043K17Rik	0.0220219376646875	0	0.0170758783841976	0.0451011568805666	0	0.032055357359265	0.132150426625085
1010001B22Rik	0.0346618334558564	0	0.0405429893229868	0.0112464480177091	0	0.00400131577590302	0.0121572522849336
1010001N08Rik	0	0	0.0617171775700993	0	0	0.177313287094577	0.00284244207461996
1110001J03Rik	0.602765520330571	0.158086881795716	1.22495643479385	0.327918851169703	0.664583407753964	0.302914297235694	0.721969568767713
1110002E22Rik	0	0	0.00692945840572002	0	0	0.0114048288415423	0.0003194155489258
1110002L01Rik	0.00960243980653519	0.0954558568385981	0.0965301161717515	0.0419901143413161	0	0.212439063800795	0.0885911470141126
1110002O04Rik	0	0	0	0	0	0.00371094256974834	0.00360692630371575
1110004E09Rik	0.436392775551547	0.696760436154993	0.562468336993103	0.712861092580714	0.736788088267359	0.802912360276258	0.536849122892431
1110004F10Rik	0.924374225300126	1.09513183765151	0.97450989314354	0.955280309221648	1.11246773345383	0.906865356581215	1.19214269796548
1110007C09Rik	0.871821809720919	0.648446498574118	0.571557713994503	0.63073872799725	0.680457285160106	0.0324574926212151	0.539250156024271
1110008F13Rik	0.610949106914585	0.5642340624573	0.851426396294592	0.626261297345033	1.03022476836149	0.794184795566868	0.460069204389313
1110008L16Rik	0.0382296799848149	0.0591776596098886	0.110041026319815	0.0170081961617707	0.281072588705507	0.0996650612820034	0.066878422505485
1110008P14Rik	0.565904984764414	0.497965050074061	2.41516392601529	0.252621396988763	0.215207045340043	0.249177190808235	0.251593563290799
1110012L19Rik	0.155237550376361	0.401157661781572	0.268857986413219	0.189289170418824	0.378770361772479	0.0794650365894347	0.417638945038749
1110017D15Rik	0.0837183782437891	0.280753065080492	0.108694980139861	0.471008583556665	0.208627711276009	0.902407231370721	0.212783589961352
1110018N20Rik	0.0858802208568636	0	0.0469168797586736	0.0248951135081271	0.111267756335116	0.0249832829863241	0.0169002760135816
