p_val	avg_diff	pct.1	pct.2	cluster	gene
Cd52	1.69461020437392e-129	3.50471282819641	1	0.016	InnateLymphoid	Cd52
Trbc2	1.01754135931372e-120	2.96547703994708	0.906	0.003	InnateLymphoid	Trbc2
Ms4a4b	4.20782938624174e-117	3.26691045621144	0.859	0.003	InnateLymphoid	Ms4a4b
S100a4	6.77666206461104e-117	3.05529411947962	0.953	0.014	InnateLymphoid	S100a4
Thy1	4.5539839887991e-110	2.668888038877	0.828	0.002	InnateLymphoid	Thy1
Ptprcap	1.20719861537149e-108	2.30359015430585	0.844	0.002	InnateLymphoid	Ptprcap
Ptprc	4.05706044134169e-104	2.7974083039467	0.922	0.017	InnateLymphoid	Ptprc
H2-D1	2.85643413063064e-100	2.3810621254077	1	0.326	InnateLymphoid	H2-D1
Hcst	1.25968639635471e-98	2.35123015801996	0.781	0.005	InnateLymphoid	Hcst
H2-K1	5.30661162732271e-97	2.36089366194805	1	0.322	InnateLymphoid	H2-K1
Cd3g	2.27208014079039e-91	2.3215530422223	0.719	0.002	InnateLymphoid	Cd3g
Cxcr6	3.78632299436625e-90	2.37427907721473	0.703	0.001	InnateLymphoid	Cxcr6
H2-Q7	1.66855150096772e-88	2.46708037163594	0.844	0.016	InnateLymphoid	H2-Q7
Nkg7	3.5431595778947e-88	2.52767037054407	0.688	0.001	InnateLymphoid	Nkg7
Ccl5	4.15591726821398e-86	3.58242476354306	0.719	0.007	InnateLymphoid	Ccl5
Trac	6.26360355438634e-86	2.65133744730946	0.75	0.009	InnateLymphoid	Trac
Lat	1.40801984736144e-83	1.82168072796612	0.703	0.002	InnateLymphoid	Lat
Rac2	4.74118602549585e-80	2.2923530692101	0.734	0.012	InnateLymphoid	Rac2
Ly6c2	2.70081343715658e-78	2.69432175069001	0.625	0.005	InnateLymphoid	Ly6c2
Lcp1	6.4306823050097e-75	2.20764862116601	0.828	0.027	InnateLymphoid	Lcp1
Sh3bgrl3	5.41125275777712e-74	2.21165875661332	0.938	0.195	InnateLymphoid	Sh3bgrl3
Il2rg	1.53202662002735e-72	1.8223640279015	0.688	0.006	InnateLymphoid	Il2rg
Sept1	1.03949616590177e-71	1.91626229404153	0.719	0.017	InnateLymphoid	Sept1
Trbc1	4.09144564535196e-71	2.23449030232783	0.578	0.001	InnateLymphoid	Trbc1
Gimap4	6.49328698815121e-70	2.28209480684781	0.719	0.012	InnateLymphoid	Gimap4
Tmsb10	4.56147533496851e-69	1.89420432204923	0.953	0.392	InnateLymphoid	Tmsb10
Cd3e	4.80815218717871e-65	1.75812228041513	0.531	0.001	InnateLymphoid	Cd3e
Pfn1	2.95955379590919e-63	1.79071683410943	0.922	0.306	InnateLymphoid	Pfn1
Cd226	3.17886316701317e-63	1.39958760261384	0.5	0	InnateLymphoid	Cd226
AW112010	6.26976296121788e-63	2.38215440045036	0.75	0.068	InnateLymphoid	AW112010
Cd2	6.91273042146717e-62	1.65312129270971	0.531	0.002	InnateLymphoid	Cd2
Tmsb4x	1.50011427984292e-61	1.60567904575543	1	0.786	InnateLymphoid	Tmsb4x
Ccr2	2.40182204315368e-61	2.31527111426952	0.578	0.004	InnateLymphoid	Ccr2
Lck	2.51220930723219e-59	1.67101494582061	0.547	0.003	InnateLymphoid	Lck
Psmb8	3.98204766554072e-59	1.99805559774558	0.844	0.067	InnateLymphoid	Psmb8
Was	4.75348511935927e-59	1.58563250543235	0.562	0.005	InnateLymphoid	Was
B2m	1.85073850392498e-58	1.6819105357434	1	0.521	InnateLymphoid	B2m
Arhgap30	1.07932620933443e-57	1.8256363162876	0.672	0.018	InnateLymphoid	Arhgap30
Itgb7	2.11272379551111e-57	1.51505104252657	0.547	0.004	InnateLymphoid	Itgb7
Cd3d	2.1356316375159e-57	1.92819206447671	0.719	0.034	InnateLymphoid	Cd3d
