clusters	InnateLymphoid	Macrophage	Endothelial	Myoid	Leydig	Sertoli	Unknown
0610005C13Rik	0	0	0	0	0.005743895	0.03338376	0.001848655
0610007P14Rik	0.410451903	0.21180884	0.217929394	0.144473915	0.835807413	0.365530659	0.439671501
0610009B22Rik	0.027719805	0.262974293	0.233556945	0.078351046	0.474501515	0.266013761	0.355862844
0610009E02Rik	0.045008857	0.089948589	0.190371875	0.333499718	0.015348883	0.030561354	0.029061412
0610009L18Rik	0	0.521014857	0.188551283	0.068326049	0.22774855	0.515452986	0.30196723
0610009O20Rik	0.061604932	0.182296609	0.338278396	0	0.138342846	0.19590688	0.14575895
0610010F05Rik	0.143811858	0.252549443	0.363298402	0.677901337	0.232634956	0.602954495	0.24223671
0610010K14Rik	0.126808687	0	0	0	0.009048449	0.013598101	0.024002426
0610011F06Rik	0.403155133	0.304422915	0.150605879	0.165890241	1.559222258	0.317415418	0.311628633
0610025J13Rik	0	0	0.047750735	0	0.039158038	0.0058591	0.006045069
0610030E20Rik	0.604905113	0.464637566	0.305520102	0.397982706	0.27393674	0.232948532	0.441312645
0610037L13Rik	0.33311286	0.295746418	0.457066844	0.521841616	0.390224403	0.360203549	0.543933752
0610038B21Rik	0	0.005633294	0	0	0.041345429	0.00231721	0.045733779
0610039K10Rik	0	0.05785859	0	0	0.008019912	0.00896563	0.016990944
0610040B10Rik	0.051491956	0.04627645	0.10939909	0	0.081889874	0.117831281	0.078663175
0610040F04Rik	0	0	0.057732757	0	0	0.002464171	0.001100425
0610043K17Rik	0	0.045158775	0.022048012	0	0.017082312	0.032081911	0.132193906
1010001B22Rik	0	0.011262293	0.034690888	0	0.04055132	0.004003192	0.012161693
1010001N08Rik	0	0	0	0	0.061743435	0.177354178	0.002843895
1110001J03Rik	0.158410003	0.328267051	0.603181016	0.664583966	1.225156009	0.302844205	0.722159422
1110002E22Rik	0	0	0	0	0.006932475	0.011396754	0.000319461
1110002J07Rik	0	0	0	0	0	0.004658428	0
1110002L01Rik	0.095984005	0.04195592	0.009615662	0	0.096567271	0.212551274	0.088605721
1110002O04Rik	0	0	0	0	0	0.003709238	0.003610203
1110004E09Rik	0.698184463	0.713286811	0.436815667	0.736171489	0.562694255	0.802944827	0.536976685
1110004F10Rik	1.097073114	0.955865214	0.92481502	1.112488815	0.974737844	0.906965276	1.192359176
1110007C09Rik	0.649498189	0.63118023	0.872455712	0.681418219	0.571694331	0.032469659	0.539339169
1110008F13Rik	0.565584512	0.626785886	0.611307691	1.031189021	0.851593243	0.79425854	0.460147306
1110008L16Rik	0.059267473	0.017012218	0.03827575	0.281058299	0.110116278	0.099691504	0.066909591
1110008P14Rik	0.498952262	0.252912304	0.566254998	0.215444468	2.415419137	0.24913574	0.251633544
1110012L19Rik	0.401998672	0.189629449	0.155396993	0.378480614	0.268921922	0.079488595	0.417732457
1110017D15Rik	0.281282652	0.471279476	0.083784885	0.208763271	0.108737312	0.902305405	0.212828645
1110018N20Rik	0	0.024895114	0.085916047	0.111267756	0.046847851	0.024988612	0.016907709
1110019D14Rik	0	0.145832303	0.040285637	0.460081534	0.153786375	0.064824014	0.071032926
