V1	V2	V3	V4	V5	V6
0610005C13Rik	0	0.0309453814018258	0.00532163991655669	0	0	0
0610007P14Rik	0.569802184931037	1.01260291235462	1.37641398140457	1.23744405698313	0.919481572717537	0.455275499403013
0610009B22Rik	0.318748527030701	0.417225081267398	0.413837451415719	0.417542942884747	0.480240249339457	0.373565096522096
0610009E02Rik	0	0	0.0316649298598216	0.00994946314252166	0	0.0224365158783223
0610009L18Rik	0.062266500622665	0.243558473884606	0.145968032878703	0.0951138711551344	0.0709734145203467	0.12167567540785
0610009O20Rik	0.0693402653031784	0.0354346054356685	0.0727208951305209	0.102097167387928	0.187050390915012	0.140917734798299
0610010F05Rik	0.355143774460224	0.277391057077456	0.447360093045835	0.516223993666051	0.634452682741123	1.14352866628614
0610010K14Rik	0	0.0257267815796244	0.0169320430068642	0.00644106318292421	0	0.00482645981103445
0610011F06Rik	0.533312427070563	0.522585320429004	0.276831677896592	0.26117415196215	0.634390009209932	0.807837715336439
0610025J13Rik	0	0	0.00097296234927597	0	0	0.0124637460785939
0610030E20Rik	0.437387421678399	0.405358069764406	0.21040805093683	0.319979664343699	0.363584022953689	0.147355759132174
0610031O16Rik	0	0	0	0	0	0
0610037L13Rik	0.625857114733229	0.908608939245565	0.465543384098245	0.378592759202843	0.319487075811311	0.493378390256287
0610038B21Rik	0	0	0.118097692322747	0.0292358863337375	0	0.00812825079230125
0610039K10Rik	0	0	0.00728343722145207	0.00821442946680138	0	0
0610040B10Rik	0.0800487041933315	0.150756588902519	0.105144136197802	0.0974472197989358	0.212927973831246	0.288528632966161
0610040F04Rik	0	0	0	0	0	0
0610040J01Rik	0	0	0	0	0	0
0610043K17Rik	0	0.027233486294748	0.0022762502873766	0	0	0
1010001B22Rik	0	0.0220701831825204	0.0156255507674249	0.00239155894487289	0.0469127983714362	0
1010001N08Rik	0	0.0161869921331218	0	0	0	0
1110001J03Rik	0.684757466210993	0.700930056895455	0.680635909015529	1.04764011573068	1.14913936207284	0.735416951017668
1110002E22Rik	0	0	0.00796838146235736	0.00632399469037406	0	0.0108666005252915
1110002J07Rik	0	0	0	0	0	0
1110002L01Rik	0.240968203285433	0.215634682283836	0.186113775511481	0.134752483155978	0.124217722884227	0.121858210727087
